play_id,old_game_id,posteam,yards_gained,epa,passer_player_name,passing_yards,receiver_player_name,series,series_success,series_result
1,2022091107,,,0.0,,,,1,1,First down
43,2022091107,NYJ,0.0,-0.443521179258823,,,,1,1,First down
68,2022091107,NYJ,19.0,1.46881923265755,,,,1,1,First down
89,2022091107,NYJ,0.0,-0.492192422039807,J.Flacco,,Mi.Carter,2,0,Punt
115,2022091107,NYJ,5.0,-0.325931259430945,,,,2,0,Punt
136,2022091107,NYJ,0.0,-2.40220025926828,J.Flacco,,,2,0,Punt
172,2022091107,NYJ,0.0,-0.231632089708,,,,2,0,Punt
202,2022091107,BAL,4.0,0.0751274824142456,L.Jackson,4.0,R.Bateman,3,1,First down
230,2022091107,BAL,4.0,-0.105120291467756,L.Jackson,4.0,D.Duvernay,3,1,First down
254,2022091107,BAL,4.0,0.895055219996721,,,,3,1,First down
275,2022091107,BAL,0.0,-0.529274165164679,,,,4,0,Punt
301,2022091107,BAL,8.0,0.411131828092039,L.Jackson,8.0,D.Duvernay,4,0,Punt
330,2022091107,BAL,1.0,-1.86657185154036,,,,4,0,Punt
351,2022091107,,0.0,0.0,,,,4,0,Punt
368,2022091107,BAL,0.0,-0.542897968553007,,,,4,0,Punt
391,2022091107,NYJ,-2.0,-1.05882230238058,,,,5,1,First down
412,2022091107,NYJ,3.0,-0.179725560126826,J.Flacco,3.0,Br.Hall,5,1,First down
436,2022091107,NYJ,0.0,1.66720342123881,,,,5,1,First down
469,2022091107,NYJ,1.0,-0.602929739747196,,,,6,0,Punt
490,2022091107,NYJ,0.0,-0.752288276329637,,,,6,0,Punt
511,2022091107,NYJ,0.0,-1.42365120025352,J.Flacco,,C.Davis,6,0,Punt
533,2022091107,NYJ,0.0,0.653155346866697,,,,6,0,Punt
552,2022091107,BAL,0.0,-0.547003813553602,L.Jackson,,I.Likely,7,0,Punt
574,2022091107,BAL,1.0,-0.82677958952263,,,,7,0,Punt
595,2022091107,BAL,0.0,-1.20748514169827,L.Jackson,,I.Likely,7,0,Punt
617,2022091107,BAL,0.0,0.448256644420326,,,,7,0,Punt
636,2022091107,NYJ,24.0,1.55097722844221,J.Flacco,24.0,E.Moore,8,1,First down
660,2022091107,NYJ,1.0,-0.742475949460641,,,,9,0,Turnover
697,2022091107,NYJ,0.0,-6.81797308416571,J.Flacco,,L.Cager,9,0,Turnover
723,2022091107,BAL,-1.0,-0.80613065965008,,,,10,0,Field goal
744,2022091107,BAL,8.0,0.329789958486799,L.Jackson,8.0,D.Robinson,10,0,Field goal
768,2022091107,BAL,0.0,-1.4390971692093,L.Jackson,,I.Likely,10,0,Field goal
790,2022091107,BAL,0.0,0.0519091918296444,,,,10,0,Field goal
809,2022091107,NYJ,0.0,0.0,,,,11,0,Punt
824,2022091107,NYJ,0.0,-0.557100749574602,J.Flacco,,C.Davis,11,0,Punt
846,2022091107,NYJ,0.0,-0.768590589985251,J.Flacco,,Br.Hall,11,0,Punt
868,2022091107,NYJ,9.0,-0.118671762757003,J.Flacco,9.0,G.Wilson,11,0,Punt
892,2022091107,NYJ,0.0,-0.191776442341506,,,,11,0,Punt
911,2022091107,BAL,11.0,0.727495953906327,L.Jackson,11.0,D.Robinson,12,1,First down
935,2022091107,BAL,2.0,-0.340441808104515,L.Jackson,2.0,J.Hill,13,0,Punt
959,2022091107,BAL,3.0,-0.369019965641201,,,,13,0,Punt
980,2022091107,BAL,,0.0,,,,13,0,Punt
999,2022091107,BAL,0.0,-1.22902474272996,L.Jackson,,R.Bateman,13,0,Punt
1021,2022091107,BAL,0.0,-0.41431828122586,,,,13,0,Punt
1051,2022091107,NYJ,15.0,0.892099612392485,J.Flacco,15.0,C.Davis,14,1,First down
1075,2022091107,NYJ,11.0,0.574854956008494,J.Flacco,11.0,Mi.Carter,15,1,First down
1099,2022091107,NYJ,4.0,-0.201148214517161,,,,16,1,First down
1120,2022091107,NYJ,8.0,0.860027276678011,J.Flacco,8.0,Mi.Carter,16,1,First down
1144,2022091107,NYJ,0.0,-0.412672426085919,,,,17,0,Missed field goal
1165,2022091107,NYJ,6.0,0.0165319272782654,J.Flacco,6.0,B.Berrios,17,0,Missed field goal
1194,2022091107,NYJ,0.0,-1.58944804609078,J.Flacco,,E.Moore,17,0,Missed field goal
1216,2022091107,NYJ,0.0,-3.03808907171456,,,,17,0,Missed field goal
1236,2022091107,BAL,5.0,0.137416838668287,L.Jackson,5.0,M.Andrews,18,1,First down
1260,2022091107,BAL,11.0,0.99698742502369,L.Jackson,11.0,M.Andrews,18,1,First down
1284,2022091107,BAL,0.0,-0.46344814565964,L.Jackson,,,19,0,Punt
1310,2022091107,BAL,-2.0,-1.25331604247913,L.Jackson,,,19,0,Punt
1337,2022091107,BAL,0.0,-1.23391112056561,L.Jackson,,R.Bateman,19,0,Punt
1359,2022091107,BAL,0.0,0.197171040577814,,,,19,0,Punt
1378,2022091107,NYJ,14.0,0.952740140957758,,,,20,1,First down
1399,2022091107,NYJ,5.0,-0.0770818698219955,J.Flacco,5.0,Mi.Carter,21,1,First down
1445,2022091107,NYJ,6.0,0.607285252772272,J.Flacco,6.0,Br.Hall,21,1,First down
1469,2022091107,NYJ,-6.0,-1.2889806246385,J.Flacco,,,22,0,Punt
1488,2022091107,NYJ,-1.0,-0.773501370800659,J.Flacco,,,22,0,Punt
